moduleCode,title,semesters
ABM5001,Leadership in Biomedicine,[2]
ABM5002,Advanced Biostatistics for Research,[2]
ABM5003,Biomedical Innovation & Enterprise,[1]
ABM5004,Capstone Project,"[1, 2]"
ABM5101,Applied Immunology,[1]
ABM5102,Vaccine development and its modern applications,[1]
ABM5103,Advanced technologies in immune therapeutic development,[1]
ABM5104,Microbiome-Aging-Immunity crosstalk,"[1, 2]"
ABM5105,Drugs used in Infectious Diseases,[1]
ABM5106,Anticancer Therapeutics,[2]
ABM5107,"One World, One Health: Ecosystems, Animals and Us",[1]
AC5001,Architectural History of Singapore,[1]
AC5002,Conservation Approaches and Philosophies,[1]
AC5004,Architectural Heritage Management,[2]
AC5007,Dissertation,"[1, 2]"
AC5008,Design for Conservation,[2]
AC5009,Design for Adaptive Reuse,[1]
AC5010,Historic Buildings Survey and Recording,[2]
AC5011,Conservation of C20th Buildings,[1]
AC5012,Practical Building Conservation Skills,[2]
AC5014,Internship,"[1, 2]"
ACC1701A,Accounting for Decision Makers,"[1, 2]"
ACC1701B,Accounting for Decision Makers,"[1, 2]"
ACC1701C,Accounting for Decision Makers,"[1, 2]"
ACC1701D,Accounting for Decision Makers,[1]
ACC1701X,Accounting for Decision Makers,"[1, 2]"
ACC2706,Managerial Accounting,"[1, 2]"
ACC2707,Corporate Accounting & Reporting I,"[1, 2]"
ACC2708,Corporate Accounting & Reporting II,"[1, 2]"
ACC2709,Accounting Information Systems,"[1, 2]"
ACC3701,Assurance and Attestation,"[1, 2]"
ACC3702,Corporate and Securities Law,"[1, 2]"
ACC3703,Taxation,"[1, 2]"
ACC3704,Advanced Corporate Accounting and Reporting,"[1, 2]"
ACC3705,Valuation,"[1, 2]"
ACC3706,"Governance, Risk Management and Sustainability","[1, 2]"
ACC3707,Integrated Perspectives in Accounting and Business,"[1, 2]"
ACC3715,Accounting Analytics and AI,[2]
ACC3717,Carbon Accounting and Management,[2]
ACC4711,Advanced Taxation,"[1, 2]"
ACC4712,Forensic Accounting,"[1, 2]"
ACC4713,Banking Institutions:Managing Risks in a DigitalWorld,[1]
ACC4751,Advanced Independent Study in Accounting,[1]
ACC4752,Advanced Independent Study in Accounting (2 MCs),[1]
ACC4761A,Seminars in Accounting: Internal Audit,[2]
ACE5401,Approaches to Arts & Cultural Entrepreneurship,[2]
ACE5402,Final Year Project,[2]
ACE5403,Internship,"[3, 4]"
ACE5404,Heritage: Peoples and Institutions,[1]
ACE5405,Cultural Industries and the Law,[2]
ACE5406,Arts Business,"[1, 2]"
ACE5407,"Museums, Exhibitions and the Curatorial","[1, 2]"
ACE5408,Managing Cultural Events,[2]
ACE5409,Arts Research and Social Practice,"[1, 2]"
ACE5410,Cultural Diplomacy and Intelligence,[1]
ACE5411,Cultural Analytics and Informatics,"[1, 2]"
ACE5413,Consulting as an Advanced Communication & Career Skill,"[1, 2]"
ACE5480,Topics in Arts and Cultural Entrepreneurship,[2]
AH2101,Introduction to Art History,"[1, 2]"
AH2201,Chinese Painting: Styles and Masters,[1]
AH2203,"Empire and Art: India, Singapore, Malaya",[2]
AH2204,"Art in Southeast Asia, 4th-14th centuries CE",[2]
AH3204,Methods and Approaches to Art History,[1]
AH3205,Southeast Asian Art and Modernity,[1]
AH3550,Art History Internship,"[3, 4]"
ALS1010,Learning to Learn Better,"[1, 2]"
AN1101E,Anthropology & Human Condition,"[1, 2]"
AN2101,Research Methods in Anthropology,[1]
AN2203,Peoples and Cultures of Southeast Asia,[2]
AN2204,Media Anthropology,[2]
AN2205,Food and Foodways,[1]
AN2206,Humans and Natures,[2]
AN3101,Anthropology and Theory,[1]
AN3203,Cultures of Kinship,[1]
AN3207,Senses and Society,[2]
AN3208,Critiquing Development,[2]
AN3209,Anthropology of Technology,[1]
AN3551,FASS Undergraduate Research Opportunity (UROP),[1]
AN4201,"Cultural Production: Power, Voice, Policies",[2]
AN4202,"Gender, Sex and Power",[1]
AR1101,Design I,[1]
AR1101A,"Design 1: Seeing, Thinking, Making",[1]
AR1102,Design 2,[2]
AR1328A,Architectural Materials and Construction,[2]
AR1329,"Climate, Ecology & Architecture",[2]
AR2101,Design 3,[1]
AR2102,Design 4,[2]
AR2225,Reading Visual Images,"[1, 2]"
AR2227,History & Theory of Architecture I,[2]
AR2228,History & Theory of Architecture II,[1]
AR2328,Architectural Tectonics and Structural Systems,[1]
AR2328A,Architectural Tectonics and Structural Systems,[1]
AR2522,Computational Thinking: Performance Based Design,[1]
AR2524,Spatial Computational Thinking,[2]
AR3101,Design 5,[1]
AR3102,Design 6,[2]
AR3223,Introduction to Urbanism,[1]
AR3722,Sustainable Environmental System,[2]
AR4002,Advanced Architectural Study 2,[2]
AR4421,Architecture Internship Programme,"[1, 2]"
AR4955,Topics in Architectural Design,[1]
AR5011,Research Methodology,"[1, 2]"
AR5221,Contemporary Theories,[2]
AR5321,Advanced Architectural Integration,[2]
AR5323,Well & Green Built Environment,"[1, 2]"
AR5423,Architectural Practice,"[1, 2]"
AR5601,Urban Design Theory and Praxis,"[1, 2]"
AR5666,Industrial Attachment,"[1, 2]"
AR5770,Graduate Seminar,[1]
AR5801,Options Design Research Studio 1,"[1, 2]"
AR5802,Options Design Research Studio 2,"[1, 2]"
AR5805,Advanced Architecture Studio,[1]
AR5806,Architectural Design Research Report,[1]
AR5807,Architectural Design Thesis,"[1, 2]"
AR5808,Final Design Project,[2]
AR5951E,Topics in History & Theory of Architecture 5,[1]
AR5951F,Topics in History & Theory of Architecture 6,[1]
AR5951G,Topics in History and Theory of Architecture 7,[1]
AR5951H,Topics in History and Theory of Architecture 8,[1]
AR5952F,Topics in Urbanism 6,[1]
AR5952H,Topics in Urbanism 8,[1]
AR5952J,Topics in Urbanism 10,[1]
AR5952K,Topics in Urbanism 11,[1]
AR5952L,Topics in Urbanism 12,[1]
AR5952M,Topics in Urbanism 13,[1]
AR5953E,Topics in Design Technology 5,[1]
AR5953G,Topics in Design Technology 7,[1]
AR5953H,Topics in Design Technology 8,[1]
AR5953I,Topics in Design Technology 9,[1]
AR5954A,Topics in Landscape Architecture 1,[1]
AR5954B,Topics in Landscape Architecture,[1]
AR5954C,Topics in Landscape Architecture,[1]
AR5955,Topics in Research by Design,[1]
AR5955A,Topics in Research by Design 1,[2]
AR5955B,Topics in Research by Design 2,[2]
AR5955C,Topics in Research by Design 3,[2]
AR5955D,Topics in Research by Design 4,[2]
AR5955E,Topics in Research by Design 5,[1]
AR5955F,Topics in Research by Design 6,[1]
AR5955H,Topics in Research by Design 8,[1]
AR5956A,Topics in Design and Built Environment 1,"[1, 2]"
AR5956B,Topics in Design and Built Environment 2,"[1, 2]"
AR5956C,Topics in Design and Built Environment 3,"[1, 2]"
AR5956D,Topics in Design and Built Environment 4,[1]
AR5956E,Topics in Design and Built Environment 5,[1]
AR5957A,Topics in History and Theory of Architecture 1,[2]
AR5957B,Topics in History and Theory of Architecture 2,[2]
AR5957C,Topics in History and Theory of Architecture 3,[2]
AR5958A,Topics in Urbanism 1,"[1, 2]"
AR5958B,Topics in Urbanism 2,"[1, 2]"
AR5958C,Topics in Urbanism 3,[2]
AR5958D,Topics in Urbanism 4,[2]
AR5958E,Topics in Urbanism 5,[2]
AR5958F,Topics in Urbanism 6,[2]
AR5959,Topics in Design Technology,[2]
AR5959A,Topics in Design Technology 1,[2]
AR5959B,Topics in Design Technology 2,[2]
AR5959C,Topics in Design Technology 3,[2]
AR6770,Phd Seminar,[1]
ASP1201CH,H3 Humanities & Soc Sci Research Prog,"[2, 3, 4]"
ASP1201EC,H3 Humanities & Soc Sci Research Prog,"[2, 3, 4]"
ASP1201EN,H3 Humanities & Soc Sci Research Prog,"[2, 3, 4]"
ASP1201GE,H3 Humanities & Soc Sci Research Prog,"[2, 3, 4]"
ASP1201HY,H3 Humanities & Soc Sci Research Prog,"[2, 3, 4]"
ASP1201MS,H3 Humanities & Soc Sci Research Prog,"[2, 3, 4]"
AUD5114,Electrophysiological Assessment B,[1]
AUD5115,Experimental Design & Statistics,[2]
AUD5216,Vestibular Assessment and Management B,[1]
AUD5217,Hearing Devices and Rehabilitation B (Part 1),[1]
AUD5218,Clinical Audiology B (Part 1),[1]
AUD5219,Paediatric Audiology B - Part 1,[1]
AUD5220,Independent Studies in Audiology (Research project - part 1),[1]
AUD5221,Hearing Devices and Rehabilitation B (Part 2),[2]
AUD5222,Clinical Audiology B (Part 2),[2]
AUD5223,Paediatric Audiology B - Part 2,[2]
AUD5224,Independent Studies in Audiology (Research project - part 2),[2]
BAA6001C,Foundation of Empirical Research in Accounting,[1]
BAA6001D,An Interdisciplinary Approach to Accounting and Sustainability,[1]
BAA6002A,Capital Market Tax Research,[2]
BAA6002B,Banking Research,[2]
BBP6781,Theory of Strategic Management,[2]
BDC6112,Stochastic Processes I,[1]
BDC6223,DAO Proseminar,[2]
BDC6305,Theory and Algorithms for Dynamic Programming,[2]
BHD4001,Honours Dissertation,"[1, 2]"
BI3001A,Business Internship I,"[1, 2]"
BI3001B,Business Internship I,[1]
BI3001C,Business Internship I,[1]
BI3002A,Business Internship II,[1]
BI3002B,Business Internship II,[1]
BI3003,Work Experience Internship,"[1, 2]"
BI3003A,Work Experience Internship,"[1, 2]"
BI3003B,Work Experience Internship,"[1, 2]"
BI3003C,Work Experience Internship,"[1, 2]"
BI3003D,Work Experience Internship,[1]
BI3704A,Business Internship I,"[1, 2]"
BI3704B,Business Internship I,"[1, 2]"
BI3704C,Business Internship I,"[1, 2]"
BI3704D,Business Internship I,"[1, 2]"
BI3704R,Business Internship I,"[1, 2]"
BI3708A,Business Internship II,"[1, 2]"
BI3708B,Business Internship II,"[1, 2]"
BI3708R,Business Internship II,"[1, 2]"
BI3712A,Business Internship III,"[1, 2]"
BI3712B,Business Internship III,"[1, 2]"
BI3712R,Business Internship III,"[1, 2]"
BIH5001,Fundamentals of Behavioural and Implementation Sciences,[1]
BIH5002,Evidence-informed Practice and Policies in Healthcare,[2]
BIH5003,Master’s Project I,"[1, 2]"
BIH5004,Behavioural Decision Sciences,[1]
BIH5005,Introductory Research Methods in Behavioural and Implementation Sciences,[1]
BIH5101,Intermediate Research Methods for Behavioural and Implementation Sciences,[1]
BIH5103,Programme Evaluation in Health,[1]
BIH5104,Master’s Project II,[2]
BIH5105,Advanced Applications of Behavioural and Implementation Sciences,[2]
